Date,Park_Name,Is_Weekend,Is_Holiday,Ticket_Price,Base_Visitors,Max_Temp,Avg_Temp,Rainfall,Adjusted_Visitors,Adjusted_Revenue,rowid
1/1/18,Magic Kingdom,0,1,129,80523,59,56,0.07,65224,8413848,1
1/1/18,Hollywood Studios,0,1,122,37290,59,56,0.07,30205,3684998,2
1/1/18,Animal Kingdom,0,1,122,36954,59,56,0.07,29933,3651794,3
1/1/18,Epcot,0,1,122,43689,59,56,0.07,35388,4317347,4
1/1/18,Universal Studios,0,1,124,44093,59,56,0.07,35715,4428701,5
1/1/18,Islands of Adventure,0,1,124,43835,59,56,0.07,35506,4402787,6
1/2/18,Magic Kingdom,0,0,109,64212,55,48,0.0,54901,5984237,7
1/2/18,Hollywood Studios,0,0,102,30120,55,48,0.0,25753,2626765,8
1/2/18,Animal Kingdom,0,0,102,32915,55,48,0.0,28142,2870517,9
1/2/18,Epcot,0,0,102,27264,55,48,0.0,23311,2377693,10
1/2/18,Universal Studios,0,0,115,36839,55,48,0.0,31497,3622195,11
1/2/18,Islands of Adventure,0,0,115,31209,55,48,0.0,26684,3068625,12
1/3/18,Magic Kingdom,0,0,109,60068,52,48,1.15,41087,4478430,13
1/3/18,Hollywood Studios,0,0,102,36065,52,48,1.15,24668,2516183,14
1/3/18,Animal Kingdom,0,0,102,29884,52,48,1.15,20441,2084947,15
1/3/18,Epcot,0,0,102,25794,52,48,1.15,17643,1799596,16
1/3/18,Universal Studios,0,0,115,35581,52,48,1.15,24337,2798801,17
1/3/18,Islands of Adventure,0,0,115,29847,52,48,1.15,20415,2347765,18
1/4/18,Magic Kingdom,0,0,109,61251,53,41,0.0,52370,5708287,19
1/4/18,Hollywood Studios,0,0,102,31074,53,41,0.0,26568,2709964,20
1/4/18,Animal Kingdom,0,0,102,30420,53,41,0.0,26009,2652928,21
1/4/18,Epcot,0,0,102,29769,53,41,0.0,25452,2596154,22
1/4/18,Universal Studios,0,0,115,35092,53,41,0.0,30004,3450421,23
1/4/18,Islands of Adventure,0,0,115,27479,53,41,0.0,23495,2701873,24
1/5/18,Magic Kingdom,0,0,109,63027,55,42,0.0,53888,5873801,25
1/5/18,Hollywood Studios,0,0,102,32916,55,42,0.0,28143,2870604,26
1/5/18,Animal Kingdom,0,0,102,32922,55,42,0.0,28148,2871128,27
1/5/18,Epcot,0,0,102,29649,55,42,0.0,25350,2585689,28
1/5/18,Universal Studios,0,0,115,38330,55,42,0.0,32772,3768797,29
1/5/18,Islands of Adventure,0,0,115,25311,55,42,0.0,21641,2488704,30
1/6/18,Magic Kingdom,1,0,109,84222,58,46,0.0,72010,7849069,31
1/6/18,Hollywood Studios,1,0,102,37446,58,46,0.0,32016,3265666,32
1/6/18,Animal Kingdom,1,0,102,32444,58,46,0.0,27740,2829441,33
1/6/18,Epcot,1,0,102,36955,58,46,0.0,31597,3222846,34
1/6/18,Universal Studios,1,0,115,40148,58,46,0.0,34327,3947552,35
1/6/18,Islands of Adventure,1,0,115,41012,58,46,0.0,35065,4032505,36
1/7/18,Magic Kingdom,1,0,109,83655,66,50,0.0,71525,7796228,37
1/7/18,Hollywood Studios,1,0,102,43596,66,50,0.0,37275,3802007,38
1/7/18,Animal Kingdom,1,0,102,30795,66,50,0.0,26330,2685632,39
1/7/18,Epcot,1,0,102,40543,66,50,0.0,34664,3535755,40
1/7/18,Universal Studios,1,0,115,40202,66,50,0.0,34373,3952862,41
1/7/18,Islands of Adventure,1,0,115,37799,66,50,0.0,32318,3716587,42
1/8/18,Magic Kingdom,0,0,109,61940,72,59,0.0,55746,6076314,43
1/8/18,Hollywood Studios,0,0,102,37329,72,59,0.0,33596,3426802,44
1/8/18,Animal Kingdom,0,0,102,26950,72,59,0.0,24255,2474010,45
1/8/18,Epcot,0,0,102,25948,72,59,0.0,23353,2382026,46
1/8/18,Universal Studios,0,0,115,42627,72,59,0.0,38364,4411895,47
1/8/18,Islands of Adventure,0,0,115,33547,72,59,0.0,30192,3472115,48
1/9/18,Magic Kingdom,0,0,109,64244,77,65,0.0,57820,6302336,49
1/9/18,Hollywood Studios,0,0,102,33856,77,65,0.0,30470,3107981,50
1/9/18,Animal Kingdom,0,0,102,30134,77,65,0.0,27121,2766301,51
1/9/18,Epcot,0,0,102,28785,77,65,0.0,25907,2642463,52
1/9/18,Universal Studios,0,0,115,36986,77,65,0.0,33287,3828051,53
1/9/18,Islands of Adventure,0,0,115,33083,77,65,0.0,29775,3424091,54
1/10/18,Magic Kingdom,0,0,109,62314,75,68,0.02,50474,5501703,55
1/10/18,Hollywood Studios,0,0,102,39401,75,68,0.02,31915,3255311,56
1/10/18,Animal Kingdom,0,0,102,34644,75,68,0.02,28062,2862287,57
1/10/18,Epcot,0,0,102,25568,75,68,0.02,20710,2112428,58
1/10/18,Universal Studios,0,0,115,40928,75,68,0.02,33152,3812443,59
1/10/18,Islands of Adventure,0,0,115,29391,75,68,0.02,23807,2737772,60
1/11/18,Magic Kingdom,0,0,109,62614,82,70,0.0,56353,6142433,61
1/11/18,Hollywood Studios,0,0,102,30059,82,70,0.0,27053,2759416,62
1/11/18,Animal Kingdom,0,0,102,33521,82,70,0.0,30169,3077228,63
1/11/18,Epcot,0,0,102,27418,82,70,0.0,24676,2516972,64
1/11/18,Universal Studios,0,0,115,40878,82,70,0.0,36790,4230873,65
1/11/18,Islands of Adventure,0,0,115,31544,82,70,0.0,28390,3264804,66
1/12/18,Magic Kingdom,0,0,109,62046,81,70,0.05,50257,5478041,67
1/12/18,Hollywood Studios,0,0,102,39414,81,70,0.05,31925,3256385,68
1/12/18,Animal Kingdom,0,0,102,30157,81,70,0.05,24427,2491571,69
1/12/18,Epcot,0,0,102,29557,81,70,0.05,23941,2441999,70
1/12/18,Universal Studios,0,0,115,35544,81,70,0.05,28791,3310924,71
1/12/18,Islands of Adventure,0,0,115,37576,81,70,0.05,30437,3500204,72
1/13/18,Magic Kingdom,1,0,109,87723,63,60,0.0,78951,8605626,73
